objectid;id_medidor;fecha;energia_kw;potencia_k;hora
86326;4;2/10/2019;205040.00;95.18;14:45
86332;4;2/10/2019;205046.00;96.20;15:00
86339;4;2/10/2019;205050.00;99.10;15:15
86346;4;2/10/2019;205056.00;121.80;15:30
86352;4;2/10/2019;205062.00;114.20;15:45
86358;4;2/10/2019;205068.00;151.76;16:00
86365;4;2/10/2019;205073.00;107.34;16:15
86371;4;2/10/2019;205079.00;108.24;16:30
86377;4;2/10/2019;205084.00;97.56;16:45
86384;4;2/10/2019;205089.00;103.50;17:00
86391;4;2/10/2019;205094.00;94.68;17:15
86404;4;2/10/2019;205099.00;98.46;17:30
86411;4;2/10/2019;205105.00;113.48;17:45
86417;4;2/10/2019;205110.00;114.26;18:00
86424;4;2/10/2019;205116.00;109.08;18:15
86430;4;2/10/2019;205121.00;111.62;18:30
86437;4;2/10/2019;205126.00;112.88;18:45
86444;4;2/10/2019;205132.00;106.56;19:00
86450;4;2/10/2019;205137.00;101.84;19:15
86456;4;2/10/2019;205142.00;97.44;19:30
86463;4;2/10/2019;205146.00;66.64;19:45
86469;4;2/10/2019;205150.00;66.76;20:00
86475;4;2/10/2019;205153.00;68.86;20:15
86482;4;2/10/2019;205157.00;71.98;20:30
86489;4;2/10/2019;205161.00;62.82;20:45
86502;4;2/10/2019;205163.00;62.50;21:00
86509;4;2/10/2019;205167.00;43.86;21:15
86515;4;2/10/2019;205169.00;45.46;21:30
86522;4;2/10/2019;205171.00;43.60;21:45
86528;4;2/10/2019;205173.00;44.24;22:00
86535;4;2/10/2019;205175.00;44.06;22:15
86542;4;2/10/2019;205178.00;44.04;22:30
86548;4;2/10/2019;205180.00;43.34;22:45
86554;4;2/10/2019;205182.00;43.58;23:00
86560;4;2/10/2019;205184.00;46.10;23:15
86566;4;2/10/2019;205186.00;43.66;23:30
86572;4;2/10/2019;205189.00;45.96;23:45
86579;4;3/10/2019;205191.00;44.16;0:00
86585;4;3/10/2019;205193.00;44.12;0:15
86598;4;3/10/2019;205195.00;44.48;0:30
86605;4;3/10/2019;205198.00;43.70;0:45
86611;4;3/10/2019;205200.00;44.16;1:00
86618;4;3/10/2019;205203.00;49.54;1:15
86624;4;3/10/2019;205205.00;51.14;1:30
86631;4;3/10/2019;205207.00;43.98;1:45
86638;4;3/10/2019;205209.00;46.06;2:00
86644;4;3/10/2019;205211.00;43.80;2:15
