objectid;id_medidor;fecha;energia_kw;potencia_k
465159;4;25/01/2021;30582.70;26.18
465169;4;25/01/2021;30584.20;42.60
465180;4;25/01/2021;30584.95;26.46
465189;4;25/01/2021;30586.02;26.06
465198;4;25/01/2021;30586.79;26.06
465209;4;26/01/2021;30587.88;26.38
465219;4;26/01/2021;30588.67;26.80
465230;4;26/01/2021;30589.73;26.50
465245;4;26/01/2021;30590.72;39.82
465252;4;26/01/2021;30592.89;35.46
465262;4;26/01/2021;30597.68;34.14
465278;4;26/01/2021;30602.42;33.72
465289;4;27/01/2021;30606.64;33.96
465297;4;27/01/2021;30611.23;33.60
465310;4;27/01/2021;30615.08;27.34
465319;4;27/01/2021;30618.70;27.92
465332;4;28/01/2021;30621.76;27.44
465342;4;28/01/2021;30625.60;28.26
465350;4;28/01/2021;30629.47;27.10
465363;4;24/01/2021;30564.48;26.04
465373;4;24/01/2021;30565.23;26.94
465387;4;24/01/2021;30566.15;26.96
465398;4;24/01/2021;30567.08;26.72
465407;4;24/01/2021;30568.00;26.52
465421;4;24/01/2021;30569.19;27.22
465430;4;24/01/2021;30570.13;27.26
465441;4;24/01/2021;30571.07;26.98
465449;4;25/01/2021;30572.02;27.52
465460;4;25/01/2021;30573.10;27.00
465474;4;25/01/2021;30573.91;26.96
465485;4;25/01/2021;30574.99;27.08
465496;4;25/01/2021;30576.33;39.32
465504;4;25/01/2021;30577.71;46.34
465518;4;25/01/2021;30578.94;60.58
465529;4;25/01/2021;30580.23;47.34
465541;4;25/01/2021;30581.48;26.86
465553;4;25/01/2021;30582.43;26.98
465559;4;25/01/2021;30583.45;41.40
465571;4;25/01/2021;30584.69;26.32
465582;4;25/01/2021;30585.62;26.74
465592;4;25/01/2021;30586.53;26.44
465603;4;26/01/2021;30587.61;26.06
465619;4;26/01/2021;30588.41;27.02
465631;4;26/01/2021;30589.47;26.24
465641;4;26/01/2021;30590.52;39.50
465647;4;26/01/2021;30591.73;39.68
465658;4;26/01/2021;30596.24;40.00
465675;4;26/01/2021;30601.06;34.30
465683;4;27/01/2021;30605.46;33.18
465691;4;27/01/2021;30610.04;33.98
465707;4;27/01/2021;30614.67;27.54
465714;4;27/01/2021;30618.00;27.14
465723;4;28/01/2021;30621.44;27.66
465734;4;28/01/2021;30625.16;27.80
465745;4;28/01/2021;30628.35;28.32
465755;4;28/01/2021;30630.93;27.92
465763;4;24/01/2021;30564.46;25.70
465772;4;24/01/2021;30565.09;26.02
465784;4;24/01/2021;30566.02;26.40
465798;4;24/01/2021;30566.95;26.58
465806;4;24/01/2021;30567.87;26.64
465819;4;24/01/2021;30568.80;27.00
465825;4;24/01/2021;30569.85;27.00
465836;4;24/01/2021;30570.94;27.20
465850;4;24/01/2021;30571.75;27.62
465861;4;25/01/2021;30572.76;27.28
465872;4;25/01/2021;30573.78;26.44
465883;4;25/01/2021;30574.58;27.00
465894;4;25/01/2021;30575.94;39.38
465905;4;25/01/2021;30577.14;39.42
465916;4;25/01/2021;30578.56;39.00
465927;4;25/01/2021;30579.70;34.54
465939;4;25/01/2021;30580.99;39.84
465946;4;25/01/2021;30582.03;26.64
465956;4;25/01/2021;30582.96;25.36
465970;4;25/01/2021;30584.29;26.74
465984;4;25/01/2021;30585.22;25.98
465994;4;25/01/2021;30586.27;26.60
466004;4;26/01/2021;30587.06;26.72
466010;4;26/01/2021;30588.01;26.38
466022;4;26/01/2021;30588.94;26.62
466033;4;26/01/2021;30589.86;26.54
466044;4;26/01/2021;30591.32;39.38
466060;4;26/01/2021;30595.33;34.58
466065;4;26/01/2021;30600.20;34.06
466077;4;27/01/2021;30604.62;33.92
466087;4;27/01/2021;30609.11;39.46
466099;4;27/01/2021;30613.20;34.38
466114;4;27/01/2021;30617.18;27.28
466123;4;28/01/2021;30620.47;27.24
466131;4;28/01/2021;30623.71;32.64
466141;4;28/01/2021;30627.34;29.24
466156;4;28/01/2021;30630.28;43.16
466166;4;24/01/2021;30564.56;26.36
466173;4;24/01/2021;30565.36;25.98
466189;4;24/01/2021;30566.28;26.60
466195;4;24/01/2021;30567.21;26.38
466207;4;24/01/2021;30568.14;26.42
466221;4;24/01/2021;30569.19;27.30
466229;4;24/01/2021;30569.99;27.10
466239;4;24/01/2021;30570.80;27.32
466250;4;25/01/2021;30571.89;26.98
466261;4;25/01/2021;30572.84;26.92
466269;4;25/01/2021;30573.64;26.26
466280;4;25/01/2021;30574.72;26.80
466294;4;25/01/2021;30575.74;39.90
466305;4;25/01/2021;30577.34;39.70
466313;4;25/01/2021;30578.39;34.54
466324;4;25/01/2021;30579.88;42.14
466340;4;25/01/2021;30581.16;34.34
466347;4;25/01/2021;30582.17;26.40
466358;4;25/01/2021;30583.09;25.84
466368;4;25/01/2021;30584.42;26.28
466383;4;25/01/2021;30585.35;27.22
466394;4;25/01/2021;30586.15;25.86
466406;4;26/01/2021;30587.21;27.00
466414;4;26/01/2021;30588.14;26.16
466421;4;26/01/2021;30589.07;26.54
466433;4;26/01/2021;30590.00;32.38
466443;4;26/01/2021;30591.12;39.72
466454;4;26/01/2021;30594.73;45.10
466467;4;26/01/2021;30599.27;50.92
466481;4;27/01/2021;30603.95;33.28
466491;4;27/01/2021;30608.12;39.46
466498;4;27/01/2021;30613.02;34.44
466509;4;27/01/2021;30616.88;28.80
466520;4;28/01/2021;30620.18;27.94
466529;4;28/01/2021;30623.37;32.98
466546;4;28/01/2021;30626.64;28.48
466567;4;24/01/2021;30564.69;26.54
466579;4;24/01/2021;30565.48;26.20
466588;4;24/01/2021;30566.55;26.78
466597;4;24/01/2021;30567.34;26.56
466611;4;24/01/2021;30568.41;26.78
466621;4;24/01/2021;30569.45;27.60
466631;4;24/01/2021;30570.26;27.10
466642;4;24/01/2021;30571.34;26.96
466653;4;25/01/2021;30572.15;27.66
466663;4;25/01/2021;30572.97;26.86
466674;4;25/01/2021;30574.05;27.08
466685;4;25/01/2021;30574.85;26.70
466692;4;25/01/2021;30576.13;38.78
466706;4;25/01/2021;30577.53;34.18
466717;4;25/01/2021;30578.77;39.16
466728;4;25/01/2021;30580.05;35.40
466738;4;25/01/2021;30581.34;27.98
466747;4;25/01/2021;30582.30;26.24
466759;4;25/01/2021;30583.24;43.90
466770;4;25/01/2021;30584.56;26.24
466780;4;25/01/2021;30585.49;26.32
466794;4;25/01/2021;30586.40;26.36
466807;4;26/01/2021;30587.41;26.46
466817;4;26/01/2021;30588.27;26.72
466827;4;26/01/2021;30589.20;27.38
466833;4;26/01/2021;30590.16;31.76
466845;4;26/01/2021;30591.52;39.36
466856;4;26/01/2021;30596.05;34.80
466867;4;26/01/2021;30600.54;34.36
466877;4;27/01/2021;30604.78;33.90
466893;4;27/01/2021;30609.85;34.32
466899;4;27/01/2021;30614.12;28.42
466916;4;27/01/2021;30617.46;27.54
466924;4;28/01/2021;30620.88;27.16
466937;4;28/01/2021;30624.24;32.94
466947;4;28/01/2021;30627.83;28.14
466964;4;24/01/2021;30564.49;26.28
466980;4;24/01/2021;30565.62;26.92
466990;4;24/01/2021;30566.43;26.72
466997;4;24/01/2021;30567.48;26.64
467010;4;24/01/2021;30568.27;26.46
467017;4;24/01/2021;30569.31;27.72
467028;4;24/01/2021;30570.39;27.34
467042;4;24/01/2021;30571.21;26.92
467053;4;25/01/2021;30572.29;27.04
467064;4;25/01/2021;30573.24;26.38
467072;4;25/01/2021;30574.18;27.08
467086;4;25/01/2021;30575.15;37.86
467097;4;25/01/2021;30576.53;43.70
467108;4;25/01/2021;30577.90;33.58
467116;4;25/01/2021;30579.16;35.44
467131;4;25/01/2021;30580.64;34.58
467143;4;25/01/2021;30581.63;27.24
467156;4;25/01/2021;30582.58;27.54
467164;4;25/01/2021;30583.66;42.76
467172;4;25/01/2021;30584.82;26.48
467184;4;25/01/2021;30585.75;26.48
467194;4;25/01/2021;30586.66;26.06
467208;4;26/01/2021;30587.48;26.72
467217;4;26/01/2021;30588.54;26.24
467231;4;26/01/2021;30589.34;26.24
467239;4;26/01/2021;30590.34;32.98
467252;4;26/01/2021;30591.93;44.84
467263;4;26/01/2021;30596.81;34.90
467269;4;26/01/2021;30601.57;33.96
467281;4;27/01/2021;30605.79;33.94
467292;4;27/01/2021;30610.38;33.44
467303;4;27/01/2021;30614.39;26.82
467313;4;27/01/2021;30618.12;27.24
467329;4;28/01/2021;30621.61;27.58
467338;4;28/01/2021;30625.33;28.32
467351;4;28/01/2021;30628.78;27.48
467359;4;24/01/2021;30564.44;26.52
467379;4;28/01/2021;30631.33;27.80
467391;4;28/01/2021;30631.50;27.80
467402;4;28/01/2021;30631.64;27.62
467412;4;28/01/2021;30631.75;27.18
467418;4;28/01/2021;30631.88;27.58
467429;4;28/01/2021;30632.03;26.88
467438;4;28/01/2021;30632.16;27.30
467448;4;28/01/2021;30632.28;27.22
467462;4;28/01/2021;30632.45;27.04
467475;4;28/01/2021;30632.58;26.94
467486;4;28/01/2021;30632.72;27.16
467495;4;28/01/2021;30632.82;26.82
467503;4;28/01/2021;30632.96;27.70
467515;4;28/01/2021;30633.11;27.82
467525;4;28/01/2021;30633.25;27.80
467533;4;29/01/2021;30633.38;26.84
467548;4;29/01/2021;30633.54;27.46
467560;4;29/01/2021;30633.69;27.82
467571;4;29/01/2021;30633.83;27.14
467581;4;29/01/2021;30633.94;27.66
467587;4;29/01/2021;30634.07;27.20
467599;4;29/01/2021;30634.21;27.12
467609;4;29/01/2021;30634.36;27.26
467618;4;29/01/2021;30634.47;27.22
467632;4;29/01/2021;30634.63;26.50
467644;4;29/01/2021;30634.78;27.30
467655;4;29/01/2021;30634.91;27.26
467664;4;29/01/2021;30635.04;27.24
467671;4;29/01/2021;30635.15;27.54
467683;4;29/01/2021;30635.30;27.30
467694;4;29/01/2021;30635.44;27.86
467703;4;29/01/2021;30635.57;27.82
467719;4;29/01/2021;30635.73;27.06
467731;4;29/01/2021;30635.86;27.32
467742;4;29/01/2021;30635.99;27.18
467752;4;29/01/2021;30636.14;27.24
467758;4;29/01/2021;30636.25;26.74
467770;4;29/01/2021;30636.39;27.82
467780;4;29/01/2021;30636.53;27.08
467790;4;29/01/2021;30636.67;33.44
467804;4;29/01/2021;30636.87;45.30
467817;4;29/01/2021;30637.09;40.54
467828;4;29/01/2021;30637.32;40.62
468234;4;29/01/2021;30637.69;39.52
468245;4;29/01/2021;30637.87;39.48
468261;4;29/01/2021;30638.10;39.60
468267;4;29/01/2021;30638.25;39.88
468278;4;29/01/2021;30638.49;39.68
468288;4;29/01/2021;30638.69;40.32
468303;4;29/01/2021;30638.94;41.34
468309;4;29/01/2021;30639.08;33.56
468320;4;29/01/2021;30639.25;34.02
468331;4;29/01/2021;30639.43;35.96
468347;4;29/01/2021;30639.65;37.32
468353;4;29/01/2021;30639.79;37.22
468363;4;29/01/2021;30639.98;43.30
468763;4;29/01/2021;30640.16;40.26
468779;4;29/01/2021;30640.34;27.56
468785;4;29/01/2021;30640.46;26.92
468795;4;29/01/2021;30640.59;26.98
468805;4;29/01/2021;30640.75;27.66
468821;4;29/01/2021;30640.90;27.00
468827;4;29/01/2021;30641.02;28.74
468838;4;29/01/2021;30641.19;33.94
468849;4;29/01/2021;30641.33;27.94
468864;4;29/01/2021;30641.49;27.66
468870;4;29/01/2021;30641.62;27.12
468880;4;29/01/2021;30641.81;34.84
468891;4;29/01/2021;30641.90;27.08
469296;4;29/01/2021;30642.05;28.20
469302;4;29/01/2021;30642.18;27.58
469313;4;29/01/2021;30642.32;27.30
469324;4;29/01/2021;30642.46;27.42
469340;4;29/01/2021;30642.62;27.56
469346;4;29/01/2021;30642.74;27.50
469357;4;29/01/2021;30642.88;27.00
469368;4;29/01/2021;30643.02;27.82
469384;4;29/01/2021;30643.20;27.44
469390;4;29/01/2021;30643.30;26.60
469400;4;29/01/2021;30643.43;27.94
469411;4;29/01/2021;30643.57;27.02
469426;4;29/01/2021;30643.71;26.96
469432;4;29/01/2021;30643.84;27.30
469443;4;29/01/2021;30643.98;27.06
469454;4;29/01/2021;30644.11;26.68
469470;4;29/01/2021;30644.28;26.90
469476;4;29/01/2021;30644.42;44.28
469487;4;29/01/2021;30644.63;44.74
469498;4;29/01/2021;30644.86;43.80
469514;4;29/01/2021;30645.12;44.34
469520;4;29/01/2021;30645.31;43.94
469531;4;29/01/2021;30645.61;44.18
469547;4;29/01/2021;30646.04;44.04
469553;4;29/01/2021;30646.18;28.32
469564;4;29/01/2021;30646.32;27.88
469575;4;29/01/2021;30646.47;28.04
469591;4;29/01/2021;30646.63;27.94
469597;4;29/01/2021;30646.74;28.08
469608;4;29/01/2021;30646.87;27.58
469619;4;29/01/2021;30647.02;27.74
469635;4;29/01/2021;30647.18;27.46
469641;4;29/01/2021;30647.30;27.32
469651;4;29/01/2021;30647.43;27.42
469931;4;29/01/2021;30645.77;44.24
469942;4;29/01/2021;30647.57;27.60
469958;4;29/01/2021;30647.75;27.90
469964;4;29/01/2021;30647.85;27.60
469975;4;29/01/2021;30647.98;28.22
469986;4;29/01/2021;30648.12;28.04
470002;4;29/01/2021;30648.29;27.04
470008;4;30/01/2021;30648.40;27.62
470018;4;30/01/2021;30648.53;27.66
470029;4;30/01/2021;30648.67;27.40
470044;4;30/01/2021;30648.86;27.82
470050;4;30/01/2021;30648.94;27.98
470060;4;30/01/2021;30649.08;27.42
470071;4;30/01/2021;30649.22;27.26
470087;4;30/01/2021;30649.37;27.38
470093;4;30/01/2021;30649.50;27.98
470104;4;30/01/2021;30649.63;27.80
470115;4;30/01/2021;30649.77;27.50
470131;4;30/01/2021;30649.94;27.54
470137;4;30/01/2021;30650.05;27.42
470147;4;30/01/2021;30650.19;27.44
470158;4;30/01/2021;30650.32;27.32
470174;4;30/01/2021;30650.49;27.44
470180;4;30/01/2021;30650.60;28.02
470190;4;30/01/2021;30650.74;28.16
470200;4;30/01/2021;30650.87;27.28
470215;4;30/01/2021;30651.03;27.40
470221;4;30/01/2021;30651.15;27.66
470231;4;30/01/2021;30651.28;27.48
470242;4;30/01/2021;30651.42;27.98
470257;4;30/01/2021;30651.59;27.92
470263;4;30/01/2021;30651.69;26.40
470274;4;30/01/2021;30651.82;26.24
470285;4;30/01/2021;30651.99;32.32
470300;4;30/01/2021;30652.18;32.72
